Card 1,Card 2,Card 3,Card 4,Card 5,Hand
9 Diamonds,4 Heart,5 Spades,7 Diamonds,2 Spades,Nothing in hand
Ace Heart,10 Spades,Jack Diamonds,7 Diamonds,6 Spades,Nothing in hand
8 Diamonds,9 Spades,7 Spades,2 Clubs,3 Clubs,Nothing in hand
4 Heart,Queen Spades,Ace Heart,3 Spades,7 Clubs,Nothing in hand
Jack Clubs,2 Clubs,7 Diamonds,5 Spades,4 Spades,Nothing in hand
Ace Clubs,Queen Clubs,10 Diamonds,7 Diamonds,2 Clubs,Nothing in hand
7 Spades,6 Diamonds,Ace Heart,7 Clubs,4 Diamonds,One pair
3 Diamonds,Queen Spades,King Clubs,6 Heart,King Spades,One pair
3 Clubs,10 Clubs,Jack Spades,6 Spades,5 Diamonds,Nothing in hand
10 Clubs,3 Clubs,8 Spades,King Diamonds,9 Spades,Nothing in hand
Queen Heart,Jack Clubs,King Diamonds,10 Diamonds,Queen Spades,One pair
5 Clubs,6 Heart,Jack Diamonds,Queen Heart,4 Diamonds,Nothing in hand
2 Diamonds,4 Clubs,4 Spades,Jack Diamonds,9 Spades,One pair
3 Clubs,2 Diamonds,7 Diamonds,Queen Clubs,4 Clubs,Nothing in hand
Jack Heart,4 Heart,Jack Spades,Queen Diamonds,9 Clubs,One pair
Jack Diamonds,3 Heart,7 Spades,9 Heart,King Diamonds,Nothing in hand
2 Diamonds,9 Spades,King Diamonds,6 Spades,Queen Spades,Nothing in hand
6 Heart,Queen Clubs,2 Heart,8 Diamonds,Queen Spades,One pair
8 Spades,3 Diamonds,5 Diamonds,Queen Clubs,5 Heart,One pair
6 Clubs,9 Heart,King Heart,Ace Diamonds,Queen Spades,Nothing in hand
Jack Heart,6 Spades,10 Spades,Queen Diamonds,Jack Clubs,One pair
7 Diamonds,7 Spades,8 Spades,Queen Clubs,8 Diamonds,Two pairs
Ace Spades,4 Clubs,2 Diamonds,2 Clubs,9 Diamonds,One pair
2 Clubs,7 Spades,2 Diamonds,9 Diamonds,Ace Diamonds,One pair
10 Spades,Queen Clubs,2 Heart,Jack Heart,Ace Spades,Nothing in hand
2 Heart,4 Diamonds,Jack Diamonds,5 Diamonds,7 Spades,Nothing in hand
9 Clubs,4 Clubs,8 Heart,6 Clubs,6 Heart,One pair
5 Spades,4 Clubs,4 Diamonds,5 Diamonds,8 Diamonds,Two pairs
6 Heart,King Diamonds,9 Spades,9 Heart,8 Diamonds,One pair
King Heart,10 Heart,Ace Heart,Ace Spades,King Clubs,Two pairs
9 Clubs,5 Diamonds,Jack Clubs,King Clubs,10 Clubs,Nothing in hand
2 Spades,6 Diamonds,Jack Heart,7 Spades,3 Diamonds,Nothing in hand
2 Heart,Queen Spades,5 Diamonds,8 Diamonds,6 Spades,Nothing in hand
3 Heart,6 Diamonds,2 Diamonds,3 Diamonds,2 Spades,Two pairs
Queen Spades,King Diamonds,Queen Diamonds,4 Heart,7 Diamonds,One pair
8 Clubs,Queen Diamonds,7 Spades,9 Diamonds,3 Heart,Nothing in hand
Ace Spades,6 Clubs,2 Clubs,8 Heart,Jack Diamonds,Nothing in hand
King Heart,5 Spades,Jack Diamonds,8 Heart,5 Heart,One pair
9 Clubs,2 Spades,10 Clubs,King Spades,2 Diamonds,One pair
8 Clubs,7 Clubs,King Clubs,Ace Clubs,Queen Spades,Nothing in hand
8 Diamonds,9 Spades,4 Spades,9 Heart,Jack Diamonds,One pair
Jack Spades,2 Clubs,Ace Clubs,10 Diamonds,Queen Diamonds,Nothing in hand
8 Clubs,3 Heart,5 Spades,9 Clubs,King Heart,Nothing in hand
Ace Clubs,King Heart,6 Spades,2 Diamonds,Ace Diamonds,One pair
Ace Heart,Queen Diamonds,Queen Spades,6 Diamonds,10 Diamonds,One pair
Queen Spades,7 Heart,7 Clubs,3 Spades,8 Heart,One pair
4 Diamonds,Queen Heart,Queen Diamonds,3 Diamonds,Jack Diamonds,One pair
5 Diamonds,2 Spades,5 Heart,Jack Spades,Ace Spades,One pair
2 Diamonds,King Diamonds,2 Clubs,2 Spades,4 Clubs,Three of a kind
5 Spades,8 Clubs,7 Diamonds,8 Heart,5 Clubs,Two pairs
Jack Heart,9 Clubs,Ace Clubs,Jack Spades,Ace Heart,Two pairs
Queen Diamonds,Ace Clubs,King Heart,2 Heart,Jack Clubs,Nothing in hand
King Diamonds,9 Spades,10 Spades,9 Heart,2 Spades,One pair
Jack Heart,8 Spades,2 Clubs,Jack Spades,6 Diamonds,One pair
King Clubs,9 Spades,9 Heart,10 Diamonds,4 Diamonds,One pair
Ace Spades,4 Diamonds,King Diamonds,Queen Heart,9 Diamonds,Nothing in hand
Ace Heart,8 Heart,6 Spades,4 Spades,7 Diamonds,Nothing in hand
Jack Heart,3 Spades,4 Diamonds,8 Diamonds,7 Diamonds,Nothing in hand
5 Heart,8 Diamonds,6 Clubs,8 Heart,King Diamonds,One pair
6 Diamonds,2 Heart,Jack Diamonds,Queen Spades,9 Diamonds,Nothing in hand
2 Diamonds,2 Heart,6 Diamonds,3 Heart,8 Diamonds,One pair
4 Clubs,7 Clubs,2 Diamonds,King Clubs,6 Heart,Nothing in hand
Queen Spades,7 Spades,Ace Diamonds,6 Diamonds,9 Heart,Nothing in hand
9 Heart,7 Heart,8 Heart,9 Clubs,Queen Diamonds,One pair
5 Clubs,Ace Spades,Ace Diamonds,8 Diamonds,2 Clubs,One pair
Queen Clubs,7 Diamonds,6 Spades,4 Diamonds,3 Spades,Nothing in hand
7 Spades,8 Spades,Ace Diamonds,4 Clubs,Jack Heart,Nothing in hand
Queen Spades,9 Clubs,3 Spades,Ace Diamonds,8 Clubs,Nothing in hand
4 Heart,7 Clubs,9 Diamonds,King Clubs,Queen Heart,Nothing in hand
9 Spades,Queen Heart,King Heart,6 Diamonds,8 Clubs,Nothing in hand
9 Heart,9 Spades,10 Clubs,2 Clubs,Ace Clubs,One pair
3 Clubs,3 Spades,3 Heart,Ace Heart,Queen Clubs,Three of a kind
7 Diamonds,4 Spades,King Diamonds,9 Heart,4 Clubs,One pair
Ace Clubs,4 Diamonds,4 Clubs,7 Heart,10 Heart,One pair
2 Diamonds,2 Spades,King Heart,6 Clubs,6 Diamonds,Two pairs
5 Spades,10 Clubs,Ace Clubs,3 Spades,2 Spades,Nothing in hand
10 Diamonds,2 Diamonds,Jack Heart,King Spades,Queen Spades,Nothing in hand
9 Diamonds,7 Diamonds,6 Heart,5 Diamonds,9 Clubs,One pair
3 Diamonds,7 Diamonds,7 Clubs,Ace Clubs,Jack Spades,One pair
Queen Spades,King Spades,8 Heart,Queen Heart,3 Clubs,One pair
7 Spades,6 Spades,9 Spades,2 Clubs,4 Diamonds,Nothing in hand
Ace Spades,4 Clubs,10 Clubs,6 Spades,Queen Diamonds,Nothing in hand
Ace Diamonds,7 Spades,King Diamonds,King Spades,9 Clubs,One pair
5 Diamonds,7 Heart,5 Spades,5 Heart,Ace Clubs,Three of a kind
King Spades,Jack Spades,Ace Clubs,7 Heart,5 Heart,Nothing in hand
9 Diamonds,8 Clubs,4 Clubs,2 Heart,5 Diamonds,Nothing in hand
7 Spades,King Diamonds,2 Clubs,Ace Clubs,10 Diamonds,Nothing in hand
4 Diamonds,2 Diamonds,Queen Diamonds,Ace Clubs,10 Clubs,Nothing in hand
King Heart,Ace Spades,10 Heart,9 Diamonds,2 Diamonds,Nothing in hand
9 Diamonds,King Clubs,5 Clubs,Queen Spades,5 Heart,One pair
King Spades,King Clubs,King Heart,2 Heart,5 Clubs,Three of a kind
Ace Heart,3 Heart,Jack Clubs,Jack Spades,Queen Clubs,One pair
2 Diamonds,Jack Heart,8 Heart,Queen Diamonds,Queen Spades,One pair
7 Heart,Ace Diamonds,5 Heart,Ace Spades,4 Spades,One pair
Queen Spades,8 Heart,8 Spades,10 Heart,King Clubs,One pair
6 Spades,4 Spades,Ace Spades,8 Clubs,7 Heart,Nothing in hand
Ace Spades,8 Heart,9 Spades,7 Spades,Ace Clubs,One pair
6 Spades,8 Clubs,7 Spades,2 Diamonds,9 Spades,Nothing in hand
9 Clubs,3 Clubs,3 Diamonds,8 Spades,9 Spades,Two pairs
7 Spades,9 Diamonds,6 Heart,Jack Clubs,7 Clubs,One pair
3 Spades,7 Spades,Jack Clubs,3 Heart,7 Diamonds,Two pairs
3 Spades,5 Clubs,Ace Heart,5 Heart,King Clubs,One pair
6 Clubs,Queen Clubs,8 Heart,8 Diamonds,10 Diamonds,One pair
Jack Spades,4 Spades,7 Diamonds,Jack Diamonds,3 Heart,One pair
8 Spades,3 Clubs,7 Spades,6 Spades,2 Spades,Nothing in hand
7 Heart,3 Clubs,5 Heart,5 Diamonds,5 Spades,Three of a kind
5 Diamonds,9 Diamonds,4 Clubs,6 Clubs,8 Clubs,Nothing in hand
3 Clubs,2 Clubs,2 Spades,Jack Clubs,Jack Heart,Two pairs
6 Heart,9 Clubs,8 Clubs,Ace Diamonds,5 Clubs,Nothing in hand
7 Diamonds,2 Diamonds,3 Heart,8 Clubs,4 Spades,Nothing in hand
4 Clubs,King Spades,2 Diamonds,King Diamonds,Jack Heart,One pair
6 Clubs,5 Spades,4 Diamonds,10 Diamonds,7 Clubs,Nothing in hand
Ace Diamonds,Jack Heart,10 Heart,2 Spades,King Spades,Nothing in hand
Jack Clubs,Ace Clubs,9 Heart,3 Clubs,Queen Diamonds,Nothing in hand
4 Clubs,Queen Diamonds,7 Spades,King Spades,8 Clubs,Nothing in hand
6 Diamonds,Queen Heart,King Clubs,7 Spades,5 Heart,Nothing in hand
7 Clubs,10 Spades,10 Diamonds,4 Clubs,5 Clubs,One pair
2 Clubs,Ace Heart,6 Diamonds,9 Clubs,10 Spades,Nothing in hand
3 Spades,5 Spades,10 Diamonds,10 Heart,7 Clubs,One pair
Queen Diamonds,Jack Spades,6 Spades,7 Clubs,5 Diamonds,Nothing in hand
4 Diamonds,9 Heart,King Heart,3 Diamonds,6 Spades,Nothing in hand
7 Diamonds,5 Spades,King Diamonds,King Clubs,5 Diamonds,Two pairs
9 Clubs,10 Diamonds,Queen Heart,5 Spades,Jack Spades,Nothing in hand
3 Clubs,Queen Heart,6 Spades,Queen Diamonds,7 Heart,One pair
Jack Diamonds,6 Clubs,6 Diamonds,3 Clubs,9 Spades,One pair
4 Diamonds,Jack Clubs,Jack Heart,King Spades,7 Heart,One pair
Jack Heart,9 Heart,2 Heart,10 Clubs,Ace Spades,Nothing in hand
9 Diamonds,Queen Clubs,6 Diamonds,8 Diamonds,King Clubs,Nothing in hand
2 Heart,King Heart,10 Heart,7 Heart,Ace Diamonds,Nothing in hand
3 Clubs,2 Heart,7 Clubs,9 Diamonds,2 Clubs,One pair
Ace Diamonds,7 Heart,Queen Clubs,3 Spades,10 Spades,Nothing in hand
Ace Spades,8 Heart,3 Diamonds,6 Heart,4 Heart,Nothing in hand
7 Clubs,King Diamonds,7 Diamonds,8 Diamonds,9 Heart,One pair
5 Spades,7 Heart,9 Spades,4 Clubs,10 Heart,Nothing in hand
Ace Heart,King Heart,10 Heart,2 Diamonds,9 Spades,Nothing in hand
Queen Diamonds,6 Diamonds,Queen Clubs,9 Heart,5 Heart,One pair
Queen Heart,10 Spades,7 Clubs,7 Spades,3 Diamonds,One pair
9 Diamonds,Queen Heart,4 Spades,8 Heart,Jack Heart,Nothing in hand
King Heart,2 Clubs,6 Spades,4 Heart,3 Clubs,Nothing in hand
King Spades,Ace Heart,8 Diamonds,4 Diamonds,7 Heart,Nothing in hand
6 Clubs,6 Spades,2 Spades,7 Clubs,5 Spades,One pair
Queen Clubs,8 Heart,6 Heart,Queen Heart,King Spades,One pair
6 Spades,Queen Heart,5 Clubs,5 Spades,4 Diamonds,One pair
8 Clubs,8 Diamonds,King Heart,6 Spades,Ace Spades,One pair
8 Clubs,3 Diamonds,2 Diamonds,Jack Clubs,King Heart,Nothing in hand
9 Spades,2 Heart,Queen Diamonds,6 Diamonds,8 Clubs,Nothing in hand
10 Spades,8 Spades,Queen Diamonds,King Diamonds,Queen Heart,One pair
2 Heart,Queen Spades,9 Heart,5 Spades,King Clubs,Nothing in hand
5 Spades,King Heart,7 Clubs,9 Diamonds,4 Diamonds,Nothing in hand
8 Diamonds,5 Diamonds,3 Clubs,Queen Heart,4 Clubs,Nothing in hand
10 Clubs,Ace Heart,3 Clubs,4 Diamonds,King Spades,Nothing in hand
10 Spades,Queen Spades,9 Spades,4 Diamonds,3 Heart,Nothing in hand
King Clubs,9 Heart,8 Clubs,9 Clubs,King Spades,Two pairs
10 Heart,6 Spades,King Spades,Ace Diamonds,8 Spades,Nothing in hand
King Clubs,King Heart,7 Diamonds,Queen Diamonds,3 Clubs,One pair
Jack Spades,5 Diamonds,3 Spades,4 Spades,7 Spades,Nothing in hand
5 Diamonds,9 Spades,5 Clubs,9 Heart,6 Spades,Two pairs
3 Heart,9 Clubs,9 Heart,6 Spades,Ace Spades,One pair
2 Spades,9 Clubs,4 Spades,8 Spades,King Spades,Nothing in hand
5 Diamonds,7 Clubs,3 Heart,6 Clubs,6 Diamonds,One pair
7 Spades,Queen Clubs,4 Diamonds,7 Clubs,Queen Heart,Two pairs
10 Diamonds,King Clubs,2 Spades,10 Clubs,Jack Heart,One pair
4 Spades,4 Heart,10 Diamonds,9 Diamonds,Queen Diamonds,One pair
Ace Heart,4 Heart,Queen Diamonds,4 Clubs,Ace Spades,Two pairs
3 Clubs,6 Spades,King Clubs,2 Spades,10 Diamonds,Nothing in hand
6 Spades,5 Clubs,9 Spades,Queen Clubs,3 Heart,Nothing in hand
8 Clubs,Ace Diamonds,10 Heart,4 Heart,Ace Clubs,One pair
8 Heart,5 Clubs,6 Spades,2 Heart,5 Diamonds,One pair
4 Clubs,8 Heart,King Spades,Ace Diamonds,9 Clubs,Nothing in hand
9 Spades,2 Heart,8 Spades,Queen Spades,Queen Heart,One pair
King Spades,10 Clubs,Ace Spades,10 Diamonds,9 Heart,One pair
9 Clubs,3 Spades,6 Clubs,2 Heart,4 Diamonds,Nothing in hand
Ace Diamonds,5 Spades,Ace Spades,Jack Clubs,Queen Clubs,One pair
4 Clubs,Ace Diamonds,4 Spades,8 Diamonds,5 Spades,One pair
7 Spades,4 Spades,10 Spades,5 Clubs,King Clubs,Nothing in hand
9 Spades,Ace Spades,3 Heart,Ace Heart,8 Clubs,One pair
5 Heart,8 Heart,5 Diamonds,Jack Diamonds,2 Clubs,One pair
2 Diamonds,9 Heart,7 Heart,6 Spades,4 Diamonds,Nothing in hand
6 Spades,10 Spades,King Diamonds,Jack Spades,5 Diamonds,Nothing in hand
2 Spades,3 Clubs,9 Heart,6 Heart,Queen Clubs,Nothing in hand
8 Spades,9 Diamonds,Jack Heart,10 Heart,9 Clubs,One pair
4 Clubs,King Heart,King Diamonds,Queen Heart,4 Spades,Two pairs
10 Diamonds,King Diamonds,3 Diamonds,7 Clubs,Queen Clubs,Nothing in hand
3 Heart,2 Clubs,6 Diamonds,Ace Heart,10 Clubs,Nothing in hand
3 Heart,10 Clubs,10 Spades,Jack Spades,8 Spades,One pair
4 Spades,Queen Heart,4 Diamonds,3 Clubs,4 Heart,Three of a kind
3 Heart,Jack Diamonds,6 Spades,Ace Clubs,Queen Spades,Nothing in hand
Ace Diamonds,4 Diamonds,9 Diamonds,Ace Heart,3 Diamonds,One pair
6 Clubs,4 Spades,4 Clubs,Ace Clubs,Ace Diamonds,Two pairs
3 Clubs,6 Clubs,Ace Clubs,4 Spades,4 Heart,One pair
4 Diamonds,Queen Clubs,9 Diamonds,Queen Spades,5 Heart,One pair
2 Spades,4 Clubs,5 Spades,Jack Spades,King Spades,Nothing in hand
5 Heart,4 Spades,9 Heart,8 Spades,9 Spades,One pair
8 Spades,Jack Clubs,2 Spades,9 Diamonds,King Diamonds,Nothing in hand
2 Spades,3 Heart,Queen Diamonds,10 Diamonds,Ace Heart,Nothing in hand
5 Diamonds,8 Diamonds,10 Heart,9 Diamonds,3 Clubs,Nothing in hand
3 Heart,Jack Spades,3 Diamonds,7 Diamonds,Ace Diamonds,One pair
6 Diamonds,Queen Spades,King Diamonds,4 Clubs,Jack Heart,Nothing in hand
7 Heart,8 Spades,7 Clubs,6 Diamonds,Ace Diamonds,One pair
8 Clubs,Jack Diamonds,9 Clubs,8 Heart,10 Heart,One pair
Ace Diamonds,8 Spades,5 Spades,10 Diamonds,7 Clubs,Nothing in hand
5 Spades,6 Diamonds,4 Spades,5 Diamonds,Queen Heart,One pair
5 Heart,6 Heart,Queen Clubs,9 Diamonds,2 Spades,Nothing in hand
Ace Clubs,8 Clubs,2 Diamonds,2 Heart,3 Clubs,One pair
Queen Diamonds,9 Heart,4 Heart,5 Spades,7 Spades,Nothing in hand
5 Diamonds,King Spades,10 Spades,3 Spades,8 Clubs,Nothing in hand
9 Spades,King Spades,Queen Spades,6 Clubs,2 Clubs,Nothing in hand
8 Clubs,Queen Clubs,8 Diamonds,Jack Diamonds,3 Clubs,One pair
5 Heart,King Clubs,King Heart,8 Clubs,King Diamonds,Three of a kind
5 Heart,Ace Heart,8 Heart,King Heart,2 Diamonds,Nothing in hand
Queen Spades,4 Diamonds,King Spades,Ace Clubs,3 Clubs,Nothing in hand
10 Clubs,King Diamonds,2 Clubs,Ace Clubs,2 Spades,One pair
2 Diamonds,7 Spades,5 Clubs,7 Heart,8 Clubs,One pair
King Heart,10 Spades,Queen Spades,8 Heart,Jack Spades,Nothing in hand
3 Spades,5 Diamonds,9 Clubs,Jack Spades,4 Spades,Nothing in hand
5 Diamonds,6 Diamonds,Jack Spades,Ace Clubs,9 Clubs,Nothing in hand
Ace Clubs,Ace Diamonds,3 Clubs,3 Spades,Queen Spades,Two pairs
Jack Clubs,4 Diamonds,3 Diamonds,6 Spades,9 Diamonds,Nothing in hand
2 Spades,8 Clubs,5 Spades,6 Clubs,Ace Spades,Nothing in hand
Ace Clubs,9 Heart,5 Diamonds,8 Spades,Jack Heart,Nothing in hand
8 Heart,5 Clubs,Ace Heart,2 Clubs,4 Clubs,Nothing in hand
Ace Diamonds,Queen Clubs,9 Diamonds,8 Heart,10 Clubs,Nothing in hand
Ace Spades,7 Heart,3 Heart,9 Diamonds,2 Spades,Nothing in hand
Ace Diamonds,10 Diamonds,7 Heart,3 Diamonds,Queen Heart,Nothing in hand
King Spades,3 Diamonds,Queen Heart,4 Clubs,7 Heart,Nothing in hand
10 Heart,10 Spades,9 Diamonds,Ace Clubs,7 Clubs,One pair
8 Heart,9 Heart,7 Heart,King Spades,8 Spades,One pair
Jack Heart,9 Diamonds,Jack Clubs,Ace Heart,3 Clubs,One pair
9 Diamonds,7 Heart,4 Heart,6 Spades,2 Diamonds,Nothing in hand
Queen Diamonds,7 Spades,10 Diamonds,4 Diamonds,6 Heart,Nothing in hand
3 Diamonds,Queen Spades,10 Spades,9 Diamonds,6 Heart,Nothing in hand
4 Clubs,Queen Clubs,6 Diamonds,9 Diamonds,Jack Diamonds,Nothing in hand
6 Heart,9 Clubs,5 Spades,Jack Spades,6 Clubs,One pair
3 Spades,7 Diamonds,5 Spades,Ace Spades,King Spades,Nothing in hand
7 Diamonds,5 Clubs,8 Clubs,Jack Clubs,Queen Spades,Nothing in hand
5 Clubs,4 Diamonds,6 Diamonds,4 Heart,7 Diamonds,One pair
10 Heart,6 Heart,Ace Spades,Jack Diamonds,6 Diamonds,One pair
10 Heart,Queen Diamonds,4 Clubs,6 Spades,7 Clubs,Nothing in hand
2 Spades,3 Diamonds,King Diamonds,King Spades,Queen Clubs,One pair
10 Spades,9 Diamonds,Ace Clubs,4 Clubs,Ace Spades,One pair
Ace Diamonds,Jack Diamonds,10 Heart,2 Clubs,6 Heart,Nothing in hand
4 Clubs,Jack Diamonds,Queen Spades,5 Clubs,Queen Clubs,One pair
8 Spades,Jack Heart,2 Heart,10 Diamonds,4 Heart,Nothing in hand
Ace Clubs,6 Spades,10 Heart,5 Heart,7 Clubs,Nothing in hand
5 Spades,King Clubs,King Heart,7 Spades,8 Heart,One pair
Ace Spades,3 Spades,5 Diamonds,4 Spades,9 Diamonds,Nothing in hand
King Diamonds,5 Clubs,4 Spades,8 Heart,10 Spades,Nothing in hand
Jack Diamonds,10 Heart,King Spades,5 Diamonds,9 Clubs,Nothing in hand
Ace Clubs,Jack Spades,2 Clubs,Ace Diamonds,Jack Heart,Two pairs
6 Clubs,Jack Heart,5 Spades,7 Heart,7 Diamonds,One pair
6 Diamonds,Jack Heart,Ace Diamonds,Jack Spades,5 Spades,One pair
5 Heart,Jack Clubs,Ace Clubs,3 Clubs,Ace Diamonds,One pair
7 Heart,10 Heart,3 Heart,Jack Spades,9 Diamonds,Nothing in hand
King Heart,4 Spades,Queen Clubs,10 Spades,9 Heart,Nothing in hand
Ace Clubs,2 Spades,Queen Clubs,4 Diamonds,6 Clubs,Nothing in hand
King Diamonds,6 Spades,4 Heart,10 Diamonds,8 Diamonds,Nothing in hand
9 Spades,7 Spades,7 Clubs,Jack Heart,Queen Clubs,One pair
Jack Heart,9 Heart,3 Spades,10 Diamonds,4 Diamonds,Nothing in hand
8 Spades,3 Heart,2 Heart,Jack Clubs,7 Heart,Nothing in hand
8 Heart,10 Spades,3 Spades,6 Heart,Ace Heart,Nothing in hand
Queen Diamonds,Queen Spades,Jack Diamonds,King Spades,3 Heart,One pair
2 Clubs,7 Diamonds,King Heart,4 Diamonds,7 Heart,One pair
2 Spades,8 Diamonds,9 Diamonds,Queen Heart,4 Clubs,Nothing in hand
8 Spades,9 Spades,Ace Diamonds,Ace Heart,7 Heart,One pair
Queen Clubs,9 Clubs,7 Heart,6 Heart,9 Spades,One pair
2 Heart,5 Heart,King Diamonds,10 Diamonds,3 Diamonds,Nothing in hand
7 Spades,Jack Spades,2 Diamonds,6 Spades,Queen Diamonds,Nothing in hand
7 Heart,9 Diamonds,7 Spades,5 Spades,6 Diamonds,One pair
3 Diamonds,2 Spades,4 Diamonds,8 Clubs,7 Spades,Nothing in hand
7 Clubs,3 Diamonds,10 Spades,Jack Clubs,3 Heart,One pair
3 Heart,Ace Diamonds,King Spades,Queen Heart,7 Spades,Nothing in hand
5 Clubs,Queen Heart,4 Clubs,8 Clubs,6 Diamonds,Nothing in hand
Queen Spades,8 Heart,Jack Clubs,3 Heart,Queen Diamonds,One pair
4 Spades,Jack Diamonds,5 Spades,Queen Spades,6 Diamonds,Nothing in hand
King Spades,9 Spades,Ace Diamonds,8 Heart,5 Clubs,Nothing in hand
7 Diamonds,9 Heart,8 Clubs,8 Diamonds,Ace Spades,One pair
7 Spades,King Clubs,9 Heart,8 Clubs,7 Clubs,One pair
7 Diamonds,4 Clubs,9 Spades,10 Clubs,Jack Heart,Nothing in hand
4 Spades,6 Clubs,4 Clubs,8 Heart,9 Clubs,One pair
Queen Diamonds,4 Clubs,5 Heart,2 Diamonds,Jack Clubs,Nothing in hand
7 Heart,8 Diamonds,9 Clubs,4 Diamonds,8 Heart,One pair
2 Clubs,Queen Heart,Queen Diamonds,4 Diamonds,3 Clubs,One pair
2 Clubs,Ace Clubs,7 Clubs,5 Clubs,4 Heart,Nothing in hand
4 Diamonds,Queen Clubs,Queen Heart,8 Spades,6 Spades,One pair
Ace Diamonds,8 Spades,6 Clubs,8 Heart,8 Clubs,Three of a kind
King Spades,9 Diamonds,3 Diamonds,6 Clubs,9 Clubs,One pair
4 Clubs,Ace Diamonds,9 Spades,King Spades,9 Diamonds,One pair
5 Heart,Ace Clubs,6 Diamonds,8 Diamonds,King Diamonds,Nothing in hand
Queen Heart,Queen Clubs,King Clubs,9 Heart,Ace Spades,One pair
Ace Diamonds,Queen Heart,2 Spades,8 Spades,4 Heart,Nothing in hand
5 Spades,9 Heart,3 Diamonds,3 Heart,3 Clubs,Three of a kind
7 Clubs,Queen Diamonds,2 Heart,6 Clubs,2 Clubs,One pair
4 Spades,Jack Spades,6 Clubs,9 Heart,6 Heart,One pair
Jack Heart,5 Heart,4 Heart,8 Heart,4 Diamonds,One pair
2 Clubs,7 Clubs,King Diamonds,Jack Diamonds,5 Diamonds,Nothing in hand
2 Clubs,Ace Clubs,4 Spades,8 Clubs,Ace Diamonds,One pair
Jack Clubs,2 Heart,9 Heart,5 Diamonds,3 Heart,Nothing in hand
Queen Heart,9 Heart,4 Heart,5 Diamonds,3 Diamonds,Nothing in hand
King Spades,5 Clubs,3 Spades,10 Diamonds,4 Clubs,Nothing in hand
Ace Clubs,Queen Clubs,3 Diamonds,8 Clubs,4 Clubs,Nothing in hand
5 Diamonds,2 Clubs,5 Heart,King Clubs,7 Clubs,One pair
5 Spades,King Heart,4 Heart,6 Spades,3 Heart,Nothing in hand
5 Heart,Ace Diamonds,King Spades,10 Clubs,7 Diamonds,Nothing in hand
Ace Diamonds,7 Diamonds,7 Spades,8 Clubs,9 Spades,One pair
4 Diamonds,Jack Diamonds,2 Clubs,10 Heart,10 Spades,One pair
6 Heart,8 Diamonds,Ace Clubs,5 Clubs,7 Spades,Nothing in hand
King Clubs,6 Clubs,Ace Heart,2 Heart,3 Clubs,Nothing in hand
5 Diamonds,Ace Spades,8 Clubs,King Diamonds,7 Diamonds,Nothing in hand
King Heart,4 Clubs,7 Diamonds,Queen Clubs,3 Clubs,Nothing in hand
Ace Diamonds,3 Clubs,King Clubs,7 Spades,8 Spades,Nothing in hand
5 Diamonds,Ace Spades,Queen Clubs,4 Heart,Queen Heart,One pair
6 Diamonds,5 Clubs,2 Diamonds,Ace Heart,King Heart,Nothing in hand
2 Diamonds,5 Spades,4 Diamonds,3 Clubs,2 Clubs,One pair
4 Spades,King Clubs,5 Clubs,8 Diamonds,7 Spades,Nothing in hand
Ace Spades,4 Spades,Queen Spades,9 Heart,7 Heart,Nothing in hand
8 Spades,5 Clubs,9 Spades,4 Heart,Jack Heart,Nothing in hand
4 Heart,4 Diamonds,9 Diamonds,5 Diamonds,Ace Heart,One pair
8 Heart,6 Diamonds,Jack Clubs,7 Heart,Ace Spades,Nothing in hand
10 Spades,4 Heart,King Clubs,Ace Heart,8 Heart,Nothing in hand
4 Spades,4 Clubs,10 Heart,Jack Spades,6 Diamonds,One pair
6 Clubs,3 Clubs,Queen Heart,King Clubs,6 Spades,One pair
5 Heart,Queen Clubs,7 Clubs,9 Spades,9 Heart,One pair
3 Heart,Ace Diamonds,2 Clubs,3 Diamonds,2 Spades,Two pairs
4 Heart,Queen Clubs,4 Spades,2 Heart,Queen Heart,Two pairs
4 Diamonds,7 Clubs,8 Heart,8 Diamonds,6 Heart,One pair
7 Clubs,9 Spades,Jack Spades,4 Diamonds,King Spades,Nothing in hand
Jack Diamonds,4 Spades,7 Diamonds,Ace Heart,9 Spades,Nothing in hand
2 Clubs,10 Clubs,7 Clubs,2 Spades,Queen Heart,One pair
Ace Diamonds,Jack Heart,9 Diamonds,9 Spades,Ace Spades,Two pairs
10 Spades,King Spades,King Clubs,10 Heart,7 Clubs,Two pairs
6 Clubs,2 Diamonds,5 Clubs,King Spades,Queen Heart,Nothing in hand
4 Heart,7 Clubs,7 Spades,3 Diamonds,Ace Spades,One pair
3 Heart,2 Diamonds,Queen Heart,8 Heart,5 Clubs,Nothing in hand
10 Diamonds,King Diamonds,Jack Clubs,8 Diamonds,7 Spades,Nothing in hand
3 Heart,7 Clubs,5 Heart,8 Clubs,4 Heart,Nothing in hand
5 Diamonds,2 Clubs,Queen Diamonds,King Clubs,4 Spades,Nothing in hand
Ace Heart,4 Heart,King Diamonds,6 Spades,2 Spades,Nothing in hand
7 Diamonds,Ace Diamonds,5 Heart,Jack Heart,2 Clubs,Nothing in hand
3 Clubs,Jack Clubs,Jack Diamonds,Ace Heart,5 Heart,One pair
7 Clubs,3 Spades,2 Diamonds,3 Diamonds,9 Clubs,One pair
6 Diamonds,Ace Clubs,Jack Clubs,6 Clubs,6 Heart,Three of a kind
